player,line
Howard,1
Michigan,2
Saint Louis,3
Georgia,4
Akron,5
Texas Tech,6
Hofstra,7
Alabama,8
Miami (OH),9
Tennessee,10
Wright State,11
Virginia,12
Santa Clara,13
Kentucky,14
Tennessee State,15
Iowa State,16
Texas,17
BYU,18
Kennesaw State,19
Gonzaga,20
Queens,21
Purdue,22
Missouri,23
Miami (FL),24
High Point,25
Wisconsin,26
Hawaii,27
Arkansas,28
Long Island,29
Arizona,30
Utah State,31
Villanova,32
Prairie View A&M,33
Florida,34
Iowa,35
Clemson,36
Troy,37
Nebraska,38
McNeese,39
Vanderbilt,40
VCU,41
North Carolina,42
Penn,43
Illinois,44
Texas A&M,45
Saint Mary's College,46
Idaho,47
Houston,48
TCU,49
Ohio State,50
Siena,51
Duke,52
Northern Iowa,53
Saint John's,54
California Baptist,55
Kansas,56
South Florida,57
Louisville,58
North Dakota State,59
Michigan State,60
UCF,61
UCLA,62
Furman,63
Connecticut,64
